Secteur,Quartier,Libelle,TF_LOT,Titre,NatureRDC,Types,Types_facades,Facades,Cour,Visa,Types_lots
T18,,Jnane Zenata 591,108679,,Commercial,22, -,1 FACADE,Avec cour gauche,vise,PR
T18,,Jnane Zenata 593,108681,,Commercial,22, -,1 FACADE,Avec cour gauche,vise,PR
T18,,Jnane Zenata 595,108683,,Commercial,22, -,1 FACADE,Avec cour gauche,vise,PR
T18,,Jnane Zenata 597,108685,,Commercial,22, -,1 FACADE,Avec cour gauche,vise,PR
T18,,Jnane Zenata 599,108687,,Commercial,22, -,1 FACADE,Avec cour gauche,vise,PR
T18,,Jnane Zenata 601,108689,,Commercial,22, -,1 FACADE,Avec cour gauche,vise,PR
T18,,Jnane Zenata 603,108691/26,,Commercial,22, -,1 FACADE,Avec cour gauche,vise,PR
T18,,Jnane Zenata 605,108693,,Commercial,22, -,1 FACADE,Avec cour gauche,vise,PR
T18,,Jnane Zenata 606,108694,,Commercial,1, -,2 FACADES,SANS,vise,PR+
T18,,Jnane Zenata 647,108735,,Commercial,22, -,1 FACADE,Avec cour gauche,vise,PR
T18,,Jnane Zenata 649,108737,,Commercial,22, -,1 FACADE,Avec cour gauche,vise,PR
T18,,Jnane Zenata 651,108739,,Commercial,22, -,1 FACADE,Avec cour gauche,vise,PR
T18,,Jnane Zenata 653,108741,,Commercial,22, -,1 FACADE,Avec cour gauche,vise,PR
T18,,Jnane Zenata 655,108743,,Commercial,22, -,1 FACADE,Avec cour gauche,vise,PR
T18,,Jnane Zenata 657,108745,,Commercial,22, -,1 FACADE,Avec cour gauche,vise,PR
T18,,Jnane Zenata 658,108746,,Commercial,1, -,2 FACADES,SANS,vise,PR+
T18,,Jnane Zenata 661,108749,,Commercial,22, -,1 FACADE,Avec cour gauche,vise,PR
T18,,Jnane Zenata 663,108751,,Commercial,22, -,1 FACADE,Avec cour gauche,vise,PR
T18,,Jnane Zenata 665,108753,,Commercial,22, -,1 FACADE,Avec cour gauche,vise,PR
T18,,Jnane Zenata 667,108755,,Commercial,22, -,1 FACADE,Avec cour gauche,vise,PR
T18,,Jnane Zenata 669,108757,,Commercial,22, -,1 FACADE,Avec cour gauche,vise,PR
T18,,Jnane Zenata 670,108758,,Commercial,1, -,2 FACADES,SANS,vise,PR+
T18,,Jnane Zenata 672,108760,,Residentiel,17, -,1 FACADE,Avec cour droite,vise,N
T18, -,Jnane Zenata 674,108762,,Residentiel,17, -,1 FACADE,Avec cour droite,vise,N
T18, -,Jnane Zenata 675,108763,,Residentiel,18, -,1 FACADE,Avec cour gauche,vise,N
T18, -,Jnane Zenata 676,108764,,Residentiel,17, -,1 FACADE,Avec cour droite,vise,N
T18, -,Jnane Zenata 677,108765,,Residentiel,18, -,1 FACADE,Avec cour gauche,vise,N
T18, -,Jnane Zenata 678,108766,,Residentiel,17, -,1 FACADE,Avec cour droite,vise,N
T18, -,Jnane Zenata 679,108767,,Residentiel,18, -,1 FACADE,Avec cour gauche,vise,N
T18, -,Jnane Zenata 680,108768,,Residentiel,17, -,1 FACADE,Avec cour droite,vise,N
T18, -,Jnane Zenata 682,108770,,Commercial,3, -,2 FACADES,SANS,vise,PR+
T18, -,Jnane Zenata 684,108772,,Residentiel,17, -,1 FACADE,Avec cour droite,vise,N
T18, -,Jnane Zenata 686,108774,,Residentiel,17, -,1 FACADE,Avec cour droite,vise,N
T18, -,Jnane Zenata 687,108775,,Residentiel,18, -,1 FACADE,Avec cour gauche,vise,N
T18, -,Jnane Zenata 688,108776,,Residentiel,17, -,1 FACADE,Avec cour droite,vise,N
T18, -,Jnane Zenata 691,108779,,Residentiel,18, -,1 FACADE,Avec cour gauche,vise,N
T18, -,Jnane Zenata 694,108782,,Commercial,3, -,2 FACADES,SANS,vise,PR+
T18,,Jnane Zenata 697,108785,,Commercial,22, -,1 FACADE,Avec cour gauche,vise,PR
T18, -,Jnane Zenata 699,108787,,Commercial,22, -,1 FACADE,Avec cour gauche,vise,PR
T18, -,Jnane Zenata 701,108789,,Commercial,22, -,1 FACADE,Avec cour gauche,vise,PR
T18, -,Jnane Zenata 703,108791,,Commercial,22, -,1 FACADE,Avec cour gauche,vise,PR
T18, -,Jnane Zenata 705,108793,,Commercial,22, -,1 FACADE,Avec cour gauche,vise,PR
T18, -,Jnane Zenata 706,108794,,Commercial,1, -,2 FACADES,SANS,vise,PR+
T18, -,Jnane Zenata 707,108795,,Commercial,2, -,2 FACADES,SANS,vise,PR+
T18, -,Jnane Zenata 709,108797,,Commercial,22, -,1 FACADE,Avec cour gauche,vise,PR
T18, -,Jnane Zenata 710,108798,,Commercial,1, -,2 FACADES,SANS,vise,PR+
T18,,Jnane Zenata 715,108803,,Commercial,4, -,2 FACADES,SANS,vise,PR+
T18, -,Jnane Zenata 717,108805,,Residentiel,18, -,1 FACADE,Avec cour gauche,vise,N
T18, -,Jnane Zenata 718,108806,,Commercial,3, -,2 FACADES,SANS,vise,PR+
T18, -,Jnane Zenata 721,108809,,Commercial,22, -,1 FACADE,Avec cour gauche,vise,PR
T18, -,Jnane Zenata 722,108810,,Commercial,1, -,2 FACADES,SANS,vise,PR+
T18, -,Jnane Zenata 725,108813,,Commercial,22, -,1 FACADE,Avec cour gauche,vise,PR
T18, -,Jnane Zenata 727,108815,,Commercial,22, -,1 FACADE,Avec cour gauche,vise,PR
T18, -,Jnane Zenata 729,108817,,Commercial,22, -,1 FACADE,Avec cour gauche,vise,PR
T18, -,Jnane Zenata 730,108818,,Commercial,21, -,1 FACADE,Avec cour droite,vise,PR
T18, -,Jnane Zenata 731,108819,,Commercial,22, -,1 FACADE,Avec cour gauche,vise,PR
T18,,Jnane Zenata 733,108821,,Commercial,22, -,1 FACADE,Avec cour gauche,vise,PR
T18, -,Jnane Zenata 734,108822,,Commercial,1, -,2 FACADES,SANS,vise,PR+
T18, -,Jnane Zenata 736,108824,,Residentiel,17, -,1 FACADE,Avec cour droite,vise,N
T19,,Jnane Zenata 738,108826,,Residentiel,17, -,1 FACADE,Avec cour droite,vise,N
T18, -,Jnane Zenata 742,108830,,Residentiel,17, -,1 FACADE,Avec cour droite,vise,N
T18, -,Jnane Zenata 744,108832,,Residentiel,17, -,1 FACADE,Avec cour droite,vise,N
T18, -,Jnane Zenata 746,108834,,Commercial,3, -,2 FACADES,SANS,vise,PR+
T18, -,Jnane Zenata 748,108836,,Residentiel,17, -,1 FACADE,Avec cour droite,vise,N
T18, -,Jnane Zenata 750,108838,,Residentiel,17, -,1 FACADE,Avec cour droite,vise,N
T18, -,Jnane Zenata 752,108840,,Residentiel,17, -,1 FACADE,Avec cour droite,vise,N
T18, -,Jnane Zenata 754,108842,,Residentiel,17, -,1 FACADE,Avec cour droite,vise,N
T18, -,Jnane Zenata 756,108844,,Residentiel,17, -,1 FACADE,Avec cour droite,vise,N
